date,mm_yy,categorie,nuitees
2012-01-01,01/12,Agadir,292571
2012-01-01,01/12,Casablanca,126523
2012-01-01,01/12,Errachidia,5163
2012-01-01,01/12,Fès,40631
2012-01-01,01/12,Marrakech,347816
2012-01-01,01/12,Meknès,12909
2012-01-01,01/12,Ouarzazate,17042
2012-01-01,01/12,Rabat,45450
2012-01-01,01/12,TOTAL_National,1072600
2012-01-01,01/12,Tanger,59919
2012-01-01,01/12,Tétouan,11132
2012-02-01,02/12,Agadir,307227
2012-02-01,02/12,Casablanca,124298
2012-02-01,02/12,Errachidia,6182
2012-02-01,02/12,Fès,45520
2012-02-01,02/12,Marrakech,423259
2012-02-01,02/12,Meknès,16087
2012-02-01,02/12,Ouarzazate,21651
2012-02-01,02/12,Rabat,49541
2012-02-01,02/12,TOTAL_National,1199252
2012-02-01,02/12,Tanger,51412
2012-02-01,02/12,Tétouan,12581
2012-03-01,03/12,Agadir,327644
2012-03-01,03/12,Casablanca,139630
2012-03-01,03/12,Errachidia,9419
2012-03-01,03/12,Fès,55164
2012-03-01,03/12,Marrakech,442383
2012-03-01,03/12,Meknès,18018
2012-03-01,03/12,Ouarzazate,32490
2012-03-01,03/12,Rabat,54297
2012-03-01,03/12,TOTAL_National,1306297
2012-03-01,03/12,Tanger,65217
2012-03-01,03/12,Tétouan,14489
2012-04-01,04/12,Agadir,350197
2012-04-01,04/12,Casablanca,150658
2012-04-01,04/12,Errachidia,11297
2012-04-01,04/12,Fès,77621
2012-04-01,04/12,Marrakech,657252
2012-04-01,04/12,Meknès,24342
2012-04-01,04/12,Ouarzazate,53733
2012-04-01,04/12,Rabat,55560
2012-04-01,04/12,TOTAL_National,1675203
2012-04-01,04/12,Tanger,74068
2012-04-01,04/12,Tétouan,19268
2012-05-01,05/12,Agadir,326072
2012-05-01,05/12,Casablanca,150596
2012-05-01,05/12,Errachidia,7370
2012-05-01,05/12,Fès,62028
2012-05-01,05/12,Marrakech,517082
2012-05-01,05/12,Meknès,13217
2012-05-01,05/12,Ouarzazate,33875
2012-05-01,05/12,Rabat,51956
2012-05-01,05/12,TOTAL_National,1470336
2012-05-01,05/12,Tanger,72258
2012-05-01,05/12,Tétouan,23960
2012-06-01,06/12,Agadir,387146
2012-06-01,06/12,Casablanca,142312
2012-06-01,06/12,Errachidia,4618
2012-06-01,06/12,Fès,55913
2012-06-01,06/12,Marrakech,452350
2012-06-01,06/12,Meknès,14878
2012-06-01,06/12,Ouarzazate,20218
2012-06-01,06/12,Rabat,59540
2012-06-01,06/12,TOTAL_National,1465909
2012-06-01,06/12,Tanger,97438
2012-06-01,06/12,Tétouan,43022
2012-07-01,07/12,Agadir,503873
2012-07-01,07/12,Casablanca,133359
2012-07-01,07/12,Errachidia,4232
2012-07-01,07/12,Fès,64185
2012-07-01,07/12,Marrakech,511981
2012-07-01,07/12,Meknès,12903
2012-07-01,07/12,Ouarzazate,15209
2012-07-01,07/12,Rabat,46172
2012-07-01,07/12,TOTAL_National,1702036
2012-07-01,07/12,Tanger,97418
2012-07-01,07/12,Tétouan,88175
2012-08-01,08/12,Agadir,572394
2012-08-01,08/12,Casablanca,133900
2012-08-01,08/12,Errachidia,3895
2012-08-01,08/12,Fès,69098
2012-08-01,08/12,Marrakech,589805
2012-08-01,08/12,Meknès,12231
2012-08-01,08/12,Ouarzazate,19719
2012-08-01,08/12,Rabat,32949
2012-08-01,08/12,TOTAL_National,1822884
2012-08-01,08/12,Tanger,82744
2012-08-01,08/12,Tétouan,96615
2012-09-01,09/12,Agadir,459295
2012-09-01,09/12,Casablanca,165793
2012-09-01,09/12,Errachidia,6210
2012-09-01,09/12,Fès,44142
2012-09-01,09/12,Marrakech,393153
2012-09-01,09/12,Meknès,17731
2012-09-01,09/12,Ouarzazate,29808
2012-09-01,09/12,Rabat,53271
2012-09-01,09/12,TOTAL_National,1722651
2012-09-01,09/12,Tanger,76784
2012-09-01,09/12,Tétouan,85817
2012-10-01,10/12,Agadir,363537
2012-10-01,10/12,Casablanca,154720
2012-10-01,10/12,Errachidia,12561
2012-10-01,10/12,Fès,76645
2012-10-01,10/12,Marrakech,552480
2012-10-01,10/12,Meknès,17498
2012-10-01,10/12,Ouarzazate,43267
2012-10-01,10/12,Rabat,53074
2012-10-01,10/12,TOTAL_National,1533702
2012-10-01,10/12,Tanger,26091
2012-10-01,10/12,Tétouan,70534
2012-11-01,11/12,Agadir,310378
2012-11-01,11/12,Casablanca,147533
2012-11-01,11/12,Errachidia,10200
2012-11-01,11/12,Fès,11811
2012-11-01,11/12,Marrakech,458810
2012-11-01,11/12,Meknès,17719
2012-11-01,11/12,Ouarzazate,28084
2012-11-01,11/12,Rabat,52605
2012-11-01,11/12,TOTAL_National,1303983
2012-11-01,11/12,Tanger,11415
2012-11-01,11/12,Tétouan,19228
2012-12-01,12/12,Agadir,298294
2012-12-01,12/12,Casablanca,136330
2012-12-01,12/12,Errachidia,10677
2012-12-01,12/12,Fès,11675
2012-12-01,12/12,Marrakech,410764
2012-12-01,12/12,Meknès,16579
2012-12-01,12/12,Ouarzazate,22483
2012-12-01,12/12,Rabat,47796
2012-12-01,12/12,TOTAL_National,1209277
2012-12-01,12/12,Tanger,10630
2012-12-01,12/12,Tétouan,15618
