Date,Nuité
01/2025,1748788.0
02/2025,1797178.0
03/2025,1754640.0
04/2025,2463774.0
05/2025,2305539.0
06/2025,1958326.0
01/2024,1564864.0
01/2023,1433861.0
02/2024,1668055.0
02/2023,1532384.0
03/2024,1687468.0
03/2023,1744264.0
04/2024,2055934.0
04/2023,1771128.0
05/2024,2267877.0
05/2023,1989713.0
06/2024,1967662.0
06/2023,1794690.0
07/2024,2260301.0
07/2023,2144696.0
08/2024,2584334.0
08/2023,2434398.0
09/2024,2181983.0
09/2023,1634659.0
10/2024,2362153.0
10/2023,2062500.0
11/2024,1991994.0
11/2023,1646854.0
12/2024,1950797.0
12/2023,1587377.0
01/2022,301826.0
02/2022,682549.0
03/2022,1065782.0
04/2022,899267.0
05/2022,1684479.0
06/2022,1674531.0
07/2022,2184747.0
08/2022,2875411.0
09/2022,1974605.0
10/2022,2100140.0
11/2022,1810930.0
12/2022,1755566.0
01/2021,408092.0
02/2021,406641.0
03/2021,499935.0
04/2021,270213.0
05/2021,433023.0
06/2021,703183.0
07/2021,1314571.0
08/2021,1588969.0
09/2021,1068654.0
10/2021,1007315.0
11/2021,933081.0
12/2021,559906.0
01/2019,1593011.0
02/2019,1687793.0
03/2019,2175961.0
04/2019,2548282.0
05/2019,1473077.0
06/2019,2008799.0
07/2019,2503862.0
08/2019,3022911.0
09/2019,2241340.0
10/2019,2300918.0
11/2019,1948283.0
12/2019,1767518.0
01/2018,1611117.0
02/2018,1612767.0
03/2018,2012722.0
04/2018,2322292.0
05/2018,1705875.0
06/2018,1606122.0
07/2018,2365739.0
08/2018,2893314.0
09/2018,2142246.0
10/2018,2217975.0
11/2018,1823050.0
12/2018,1718189.0
01/2017,1341354.0
02/2017,1505708.0
03/2017,1764321.0
04/2017,2208685.0
05/2017,1791639.0
06/2017,1197187.0
07/2017,2188170.0
08/2017,2791049.0
09/2017,1965359.0
10/2017,2006106.0
11/2017,1764791.0
12/2017,1589931.0
01/2016,1210602.0
02/2016,1259753.0
03/2016,1488837.0
04/2016,1747244.0
05/2016,1665178.0
06/2016,982206.0
07/2016,1907322.0
08/2016,2602529.0
09/2016,1716948.0
10/2016,1672041.0
11/2016,1560876.0
12/2016,1474222.0
01/2015,1225147.0
02/2015,1261998.0
03/2015,1503012.0
04/2015,1780506.0
05/2015,1692343.0
06/2015,1202842.0
07/2015,1477294.0
08/2015,2477886.0
09/2015,1614269.0
10/2015,1649545.0
11/2015,1309674.0
12/2015,1229735.0
01/2014,1333413.0
02/2014,1366815.0
03/2014,1646762.0
04/2014,1962531.0
05/2014,1807977.0
06/2014,1601789.0
07/2014,1270630.0
08/2014,2532476.0
09/2014,1804323.0
10/2014,1703179.0
11/2014,1353341.0
12/2014,1250239.0
01/2013,1220383.0
02/2013,1184176.0
03/2013,1551862.0
04/2013,1749955.0
05/2013,1699540.0
06/2013,1674401.0
07/2013,1368256.0
08/2013,2328836.0
09/2013,1836892.0
10/2013,1695657.0
11/2013,1397315.0
12/2013,1406493.0
01/2012,1073849.0
02/2012,1199252.0
03/2012,1306297.0
04/2012,1675203.0
05/2012,1470336.0
06/2012,1465909.0
07/2012,1702036.0
08/2012,1822884.0
09/2012,1722651.0
10/2012,1533702.0
11/2012,1303983.0
12/2012,1209277.0
01/2011,1285171.0
02/2011,1287995.0
03/2011,1436477.0
04/2011,1696037.0
05/2011,1324788.0
06/2011,1294143.0
07/2011,1969759.0
08/2011,1315792.0
09/2011,1552365.0
10/2011,1503095.0
11/2011,1084808.0
12/2011,1116792.0
