keyword,best_lag,correlation,pvalue,n_obs,significant
morocco weather in september,0,0.8260626011272751,1.0703354042534263e-44,174,True
morocco weather in may,3,0.8244007037791387,1.2498573569772922e-43,171,True
morocco weather august,1,0.8219290117513185,1.174709220227052e-43,173,True
morocco weather in june,3,0.7915181538290964,5.569949294561513e-38,171,True
morocco weather in july,2,0.7849036211260706,3.5544289290146807e-37,172,True
morocco weather april,4,0.7802111132451788,4.601378064395453e-36,170,True
marrakech weather august,0,0.7649654706101539,1.0833999306351173e-34,174,True
marrakech weather april,4,0.7549150884215133,1.3456715475174473e-32,170,True
marrakech weather july,2,0.7536685507481595,8.350715774050054e-33,172,True
agadir weather april,4,0.7452270654335253,2.2221207917347104e-31,170,True
marrakech weather in june,3,0.744989560311748,1.5806395205637982e-31,171,True
travel insurance,0,0.7420751508837793,1.0746060802095842e-31,174,True
marrakech weather in may,3,0.737536437683645,1.2682799303430212e-30,171,True
agadir weather september,0,0.6916226432266681,4.327009221143808e-26,174,True
agadir weather august,1,0.6742714874820055,2.749745851450919e-24,173,True
morocco weather december,8,0.6670747630551674,9.982147882370575e-23,166,True
morocco weather in january,7,0.6658270594049334,9.507579976108109e-23,167,True
ryanair flight tracker,0,0.6639359997495746,1.7715266327914373e-23,174,True
agadir weather in march,5,0.659106242051889,1.999300044488445e-22,169,True
agadir weather december,8,0.6519735459012852,1.839137687892649e-21,166,True
agadir weather june,2,0.6494520412698499,5.591656865923235e-22,172,True
agadir weather july,2,0.6472610308104141,8.509639583087743e-22,172,True
marrakech weather in january,7,0.6461097082992823,4.151349503823145e-21,167,True
morocco weather in november,9,0.643226568011404,1.2091876458303119e-20,165,True
tangier hotels,0,0.6266914273444786,2.253216423090926e-20,174,True
villa marrakech,0,0.6260145270039579,2.5431746908539077e-20,174,True
riad marrakesch,12,-0.6223016161530643,9.62043197881492e-19,162,True
casablanca programm,12,-0.6217777964404017,1.0482880286374144e-18,162,True
casablanca morocco weather,5,0.6176996153690151,3.7055425796775454e-19,169,True
agadir weather in november,9,0.6176029084942856,9.96095345956303e-19,165,True
essaouira,0,0.6152637707862378,1.6727812582618986e-19,174,True
restaurant couscous,6,0.6064855246760077,2.9757083177968275e-18,168,True
casablanca film,12,-0.6064197775773036,1.2114864144538125e-17,162,True
location villa marrakech,7,-0.5907897055932565,4.315467737466746e-17,167,True
agadir weather in january,7,0.5834618308016223,1.290547342688919e-16,167,True
marrakech weather in november,9,0.5805165009086682,3.0179745585201386e-16,165,True
morocco weather in october,10,0.5736228572745707,9.88331264994634e-16,164,True
casablanca kino,12,-0.5710790073139163,2.1045366833763632e-15,162,True
casablanca oldenburg,12,-0.5685344833376541,2.9799789873888047e-15,162,True
heure marrakech,1,0.5618878296380823,8.759539983954834e-16,173,True
transavia airline,0,0.5618589837425509,7.255322057874757e-16,174,True
flight,0,0.5555364622248675,1.7742414149306561e-15,174,True
marrakech wetter,11,-0.5531454844729993,1.9059723630119825e-14,163,True
turkish airline,0,0.5484941754156769,4.699202340298452e-15,174,True
casablanca time,1,0.5484153569831214,5.6966592200962725e-15,173,True
marrakech,0,0.5477029164936665,5.235229168779415e-15,174,True
tangier,0,0.5399994134835797,1.4766331440190372e-14,174,True
turkish airlines booking,0,0.5389455968642549,1.698199131681575e-14,174,True
marrakech morocco weather,5,0.5383220788961198,4.401138265719026e-14,169,True
paris marrakech vol,3,0.5373411829546535,3.529265291956416e-14,171,True
bordeaux marrakech,3,0.5309977446000058,7.955126607229025e-14,171,True
marrakech weather in october,10,0.5300726000605623,2.8960798386572676e-13,164,True
casablanca nürnberg,12,-0.5283876852451989,4.95534442079071e-13,162,True
costco travel,1,0.5276276696028985,8.730020237377191e-14,173,True
kino bochum casablanca,12,-0.5259962940820166,6.580918463591945e-13,162,True
climate of morocco,4,0.5245390663370901,2.1069590704819951e-13,170,True
casablanca bochum,12,-0.5216487195593955,1.0960514492563075e-12,162,True
marrakech best of,2,0.521366540288728,2.251903196551226e-13,172,True
restaurant riad marrakech,4,0.5196550388408238,3.8311016622265527e-13,170,True
agadir weather in october,10,0.5182680088856744,1.1789332126404587e-12,164,True
casablanca shorts,1,0.5180734848312583,2.8788218790958565e-13,173,True
wetter casablanca,12,-0.5170446556864705,1.8665405412184795e-12,162,True
jardin majorelle marrakech,2,0.5149049048073973,4.961940740098166e-13,172,True
temperature marrakech,6,0.5124620668937456,1.2390822315330966e-12,168,True
marrakech souk,2,0.5089706738050395,1.0102678250752182e-12,172,True
booking flights,0,0.5049246900960029,1.2058773752472707e-12,174,True
flights to casablanca morocco,2,0.5046014734029926,1.690443628079154e-12,172,True
