place name,category,city,link
Borj Nord,Tourist Attraction,Fes,https://www.google.com/maps/place/Borj+Nord/data=!4m7!3m6!1s0xd9ff4a4f182a245:0x1fa05b327717df71!8m2!3d34.0672714!4d-4.9849328!16s%2Fg%2F1224nhkl!19sChIJRaKC8aT0nw0Rcd8XdzJboB8?authuser=0&hl=fr&rclk=1
Médersa Bou Inania de Fès,Tourist Attraction,Fes,https://www.google.com/maps/place/M%C3%A9dersa+Bou+Inania+de+F%C3%A8s/data=!4m7!3m6!1s0xd9ff4af477e648d:0x957eb0f34b372714!8m2!3d34.0622774!4d-4.9828413!16s%2Fm%2F0466f9f!19sChIJjWR-R6_0nw0RFCc3S_OwfpU?authuser=0&hl=fr&rclk=1
Médersa Attarine,Tourist Attraction,Fes,https://www.google.com/maps/place/M%C3%A9dersa+Attarine/data=!4m7!3m6!1s0xd9ff359ca2f5575:0x694d0781fb7d3f1f!8m2!3d34.0651253!4d-4.9736165!16s%2Fm%2F04zymdb!19sChIJdVUvylnznw0RHz99-4EHTWk?authuser=0&hl=fr&rclk=1
Bab Boujloud,Tourist Attraction,Fes,https://www.google.com/maps/place/Bab+Boujloud/data=!4m7!3m6!1s0xd9ff4af0e94a903:0xeb1371f4654b8c3d!8m2!3d34.0617289!4d-4.9840054!16s%2Fg%2F119pg7sjs!19sChIJA6mUDq_0nw0RPYxLZfRxE-s?authuser=0&hl=fr&rclk=1
Musée batha,Tourist Attraction,Fes,https://www.google.com/maps/place/Mus%C3%A9e+batha/data=!4m7!3m6!1s0xd9ff4aed90b70d3:0xc44a61c2c91a5c87!8m2!3d34.0601798!4d-4.9830669!16s%2Fg%2F121cr_n3!19sChIJ03AL2a70nw0Rh1waycJhSsQ?authuser=0&hl=fr&rclk=1
Fondouk Nejjarine,Tourist Attraction,Fes,https://www.google.com/maps/place/Fondouk+Nejjarine/data=!4m7!3m6!1s0xd9ff3581109a683:0x6a46e59966ccb7bf!8m2!3d34.0647528!4d-4.9759047!16s%2Fg%2F12240dt3!19sChIJg6YJEVjznw0Rv7fMZpnlRmo?authuser=0&hl=fr&rclk=1
Jnan Sbil,Tourist Attraction,Fes,https://www.google.com/maps/place/Jnan+Sbil/data=!4m7!3m6!1s0xd9ff4ae09473177:0xd1011727d6b18241!8m2!3d34.0595715!4d-4.9882902!16s%2Fg%2F11cllb_j64!19sChIJdzFHCa70nw0RQYKx1icXAdE?authuser=0&hl=fr&rclk=1
Palais Royal,Tourist Attraction,Fes,https://www.google.com/maps/place/Palais+Royal/data=!4m7!3m6!1s0xd9ff4b527b09711:0x3e0d1029255008bd!8m2!3d34.0532017!4d-4.9936217!16s%2Fg%2F12135yt3!19sChIJEZewJ7X0nw0RvQhQJSkQDT4?authuser=0&hl=fr&rclk=1
نافورة الكرة الأرضية Fontaine Le Globe Terrestre,Tourist Attraction,Fes,https://www.google.com/maps/place/%D9%86%D8%A7%D9%81%D9%88%D8%B1%D8%A9+%D8%A7%D9%84%D9%83%D8%B1%D8%A9+%D8%A7%D9%84%D8%A3%D8%B1%D8%B6%D9%8A%D8%A9+Fontaine+Le+Globe+Terrestre%E2%80%AD/data=!4m7!3m6!1s0xd9f8b126c7fc755:0x79ec9b708b4e490a!8m2!3d34.0371301!4d-5.0029478!16s%2Fg%2F11kdt3ybf_!19sChIJVcd_bBKLnw0RCklOi3Cb7Hk?authuser=0&hl=fr&rclk=1
Tropicana Parc,Tourist Attraction,Fes,https://www.google.com/maps/place/Tropicana+Parc/data=!4m7!3m6!1s0xd9f8ab66491ecd1:0xb4e0b60ac3fab0a8!8m2!3d34.0437237!4d-5.0412722!16s%2Fg%2F11c7p93h1q!19sChIJ0eyRZLaKnw0RqLD6wwq24LQ?authuser=0&hl=fr&rclk=1
Borj Sud,Tourist Attraction,Fes,https://www.google.com/maps/place/Borj+Sud/data=!4m7!3m6!1s0xd9ff35338d9f5ab:0xbb780210dffecb57!8m2!3d34.0541595!4d-4.9702967!16s%2Fg%2F11r9twfbv!19sChIJq_XZOFPznw0RV8v-3xACeLs?authuser=0&hl=fr&rclk=1
Dar al-Magana (Water Clock),Tourist Attraction,Fes,https://www.google.com/maps/place/Dar+al-Magana+%28Water+Clock%29/data=!4m7!3m6!1s0xd9ff5d695aeda6f:0xb2b640d2a49490bb!8m2!3d34.0623852!4d-4.9829146!16s%2Fm%2F04y6k42!19sChIJb9quldb1nw0Ru5CUpNJAtrI?authuser=0&hl=fr&rclk=1
Palais El Glaoui,Tourist Attraction,Fes,https://www.google.com/maps/place/Palais+El+Glaoui/data=!4m7!3m6!1s0xd9ff4a9e45afd19:0xac989b84715b0a7a!8m2!3d34.0589143!4d-4.9772076!16s%2Fg%2F12hkrxmsr!19sChIJGf1a5Kn0nw0RegpbcYSbmKw?authuser=0&hl=fr&rclk=1
Place Nejjarine,Tourist Attraction,Fes,https://www.google.com/maps/place/Place+Nejjarine/data=!4m7!3m6!1s0xd9ff3a04876c699:0x238609a56658e1ed!8m2!3d34.0648157!4d-4.9757326!16s%2Fg%2F11q3yc71bm!19sChIJmcZ2SKDznw0R7eFYZqUJhiM?authuser=0&hl=fr&rclk=1
Nejjarine Fountain,Tourist Attraction,Fes,https://www.google.com/maps/place/Nejjarine+Fountain/data=!4m7!3m6!1s0xd9f8b4b4a1ad2b7:0xc9eaf4360136beb2!8m2!3d34.0648041!4d-4.97577!16s%2Fg%2F1hc2d0r5y!19sChIJt9IaSkuLnw0Rsr42ATb06sk?authuser=0&hl=fr&rclk=1
Belvédère vue sur médina,Tourist Attraction,Fes,https://www.google.com/maps/place/Belv%C3%A9d%C3%A8re+vue+sur+m%C3%A9dina/data=!4m7!3m6!1s0xd9ff38de85ccd77:0xe81d4f42f8eafb77!8m2!3d34.0570764!4d-4.969858!16s%2Fg%2F11lrdyftct!19sChIJd81c6I3znw0Rd_vq-EJPHeg?authuser=0&hl=fr&rclk=1
Medina of Fez - المدينة القديمة فاس,Tourist Attraction,Fes,https://www.google.com/maps/place/Medina+of+Fez+-+%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9+%D9%81%D8%A7%D8%B3%E2%80%AD/data=!4m7!3m6!1s0xd9ff5004557659f:0x6649494210460722!8m2!3d34.0617563!4d-4.9832938!16s%2Fg%2F11vzsmy71f!19sChIJn2VXRQD1nw0RIgdGEEJJSWY?authuser=0&hl=fr&rclk=1
Tanneries fes,Tourist Attraction,Fes,https://www.google.com/maps/place/Tanneries+fes/data=!4m7!3m6!1s0xd9ff3bd6c117f41:0x300e7933a450fb4b!8m2!3d34.06434!4d-4.9759879!16s%2Fg%2F11swhq5721!19sChIJQX8RbL3znw0RS_tQpDN5DjA?authuser=0&hl=fr&rclk=1
Bab el-Semmarine باب السمارين,Tourist Attraction,Fes,https://www.google.com/maps/place/Bab+el-Semmarine+%D8%A8%D8%A7%D8%A8+%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D8%B1%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0xd9ff4b31b4a29ab:0x767ae144b07a883a!8m2!3d34.0542461!4d-4.990046!16s%2Fg%2F121xjjvr!19sChIJqylKG7P0nw0ROoh6sEThenY?authuser=0&hl=fr&rclk=1
Viewpoint Medina,Tourist Attraction,Fes,https://www.google.com/maps/place/Viewpoint+Medina/data=!4m7!3m6!1s0xd9ff5919ac59997:0xcd39ca27885ffed0!8m2!3d34.0683175!4d-4.9806117!16s%2Fg%2F11tnhhgsxp!19sChIJl5nFmpH1nw0R0P5fiCfKOc0?authuser=0&hl=fr&rclk=1
